title,genres,shorts_url
Star Wars: Episode V - The Empire Strikes Back,Action; Adventure; Fantasy,https://youtube.com/shorts/PGfoHusI8QU?si=vTkgOOdT78sItmQm
Star Wars: Episode VI - Return of the Jedi,Action; Adventure; Fantasy,https://youtube.com/shorts/MowheNbpkbM?si=QqpaMcR-Ocne-L32
Star Wars: Episode VII - The Force Awakens,Action; Adventure,https://youtube.com/shorts/kD5CBUITeu4?si=4OtJhqp683CpLyz8
Star Wars: Episode VIII - The Last Jedi,Fantasy,https://youtube.com/shorts/177JPfaTcOU?si=V4x1uJOYr7Qzafd5
Suicide Squad,Fantasy,https://youtube.com/shorts/klhKAG5-z6Q?si=QW-aX2eQ1SoEN5AN
Superbad,Comedy,https://youtube.com/shorts/SoWN936y2Xs?si=sC3VMfXOgz-u19w2
Sweeney Todd: The Demon Barber of Fleet Street,Horror,https://youtube.com/shorts/UB-e7szXt18?si=PU9KgsHGr2OZEdoK
Taken,Crime,https://youtube.com/shorts/7ZrCHpQn8H4?si=Bb6nTGDkTDmva3Bs
Taxi Driver,Crime; Drama,https://youtube.com/shorts/WcVAuSdlb3o?si=9JPiEu-A1r1Ed2_Z
Ted,Comedy,https://youtube.com/shorts/yilqp9UQSsI?si=lGakeG2dvaQki_zY
Terminator 2: Judgment Day,Action; Adventure,https://youtube.com/shorts/-sVTSEFjWqg?si=IcQmCSmSa055Saks
The Avengers,Action,https://youtube.com/shorts/4WB5yYvX-lA?si=n08VyWDnvIEYUia9
The Batman,Action; Crime,https://youtube.com/shorts/vNMhuDurats?si=N2GKAnNcjzNC6oc2
The Big Lebowski,Comedy; Crime,https://youtube.com/shorts/72BluBQSLzw?si=xBXX3bvLy7AQkEvW
The Cabin in the Woods,Horror,https://youtube.com/shorts/BWHxxTYzokE?si=7_DtBP547s0-9NUi
The Conjuring,Horror,https://youtube.com/shorts/MyUVQuQyPa8?si=Fq3t-spjGIVyHhSx
The Conjuring 2,Horror,https://youtube.com/shorts/HGVFhv2FJdA?si=ZqSGGaUUVVxfVvNY
The Curious Case of Benjamin Button,Fantasy,https://youtube.com/shorts/Wjizcbun3W8?si=rqkrx4vme7IUItPW
The Dark Knight,Action; Crime; Drama,https://youtube.com/shorts/tIAL90Wveec?si=VvoS60fAekZHM4Er
The Dark Knight Rises,Action; Crime; Drama,https://youtube.com/shorts/b4eL59_WIFs?si=sOpdb3VqTCfP2YRu
The Departed,Crime; Drama,https://youtube.com/shorts/aQZHEjjg1Oc?si=5L6BKIWRN4iM0oYs
The Exorcist,Horror,https://youtube.com/shorts/gl6ekehyZr8?si=MDOLDZrwOviKET32
The Godfather,Crime; Drama,https://youtube.com/shorts/Nm_moQVMVVY?si=k1SSdXE0qGxi-oCH
The Godfather Part II,Crime; Drama,https://youtube.com/shorts/EcWwyTiEDHk?si=vn1Brrhn_suQASLx
The Grand Budapest Hotel,Comedy,https://youtube.com/shorts/r-Fg-d17cBg?si=eI_KpD6kmxMZEMiT
The Green Mile,Crime; Drama; Fantasy,https://youtube.com/shorts/EtzVD973xG0?si=uV8pRSw0ABiP6ZgY
The Hangover,Comedy,https://youtube.com/shorts/8F8uZaPAgQM?si=XDPcLf1r1uSRlgjp
The Hateful Eight,Crime,https://youtube.com/shorts/1zZj1VrCl8Q?si=_c7DFFn6CEvcW7Ib
The Hobbit: An Unexpected Journey,Adventure; Fantasy,https://youtube.com/shorts/g2-e5YDmyPI?si=DddK_XKMwJR1YH4Q
The Hobbit: The Desolation of Smaug,Fantasy,https://youtube.com/shorts/uAgVtvK6nXI?si=hQuxV2Tu9RtBPFaz
The Hunger Games,Action; Adventure,https://youtube.com/shorts/qVYLroXpXD4?si=sSjKGvviylBtqs8A
The Incredibles,Action; Adventure,https://youtube.com/shorts/bxQPv1MYs1Q?si=kwRz4aJASrRw1v2l
The Intouchables,Comedy,https://youtube.com/shorts/jpS4MYVc6Cc?si=rPFO6brOtwxNxp9K
The Lion King,Adventure; Drama,https://youtube.com/shorts/X4hxcDrKih0?si=Qlwh35_fA_pB20Jb
The Lord of the Rings: The Fellowship of the Ring,Adventure; Drama; Fantasy,https://youtube.com/shorts/COul7TeG1K8?si=16S1ofk5i5x9Jt_A
The Lord of the Rings: The Return of the King,Adventure; Drama; Fantasy,https://youtube.com/shorts/918IPk91Rpw?si=0aWlX1SvA5VgRCyD
The Lord of the Rings: The Two Towers,Adventure; Drama; Fantasy,https://youtube.com/shorts/nN1y6T7_Uqc?si=roBxLTrkmEtKuw2d
The Martian,Adventure,https://youtube.com/shorts/TpSTx7I-pzU?si=RKDt-n6-e41zKNi_
The Matrix,Action,https://youtube.com/shorts/Gk_qcwIcZMo?si=uEqzX_iBkCcGtFdx
The Menu,Horror,https://youtube.com/shorts/huC1LLbRfpQ?si=haF5sjy5mh3kQqeB
The Mist,Horror,https://youtube.com/shorts/tg9QUZjKRLg?si=ucPzsfcmuMA649WM
The Others,Horror,https://youtube.com/shorts/RJNAmoNkcK8?si=h-SG2qw4aUBEPvvz
The Prestige,Drama,https://youtube.com/shorts/KpPDZWXtse0?si=Z8vu6vo01hOt1Uab
The Revenant,Adventure,https://youtube.com/shorts/cquEVaGIpyw?si=zERGrRmoQJ53AHAv
The Ring,Horror,https://youtube.com/shorts/xOo5yi_g17E?si=ebGlGzdHNDyUWglc
The Shawshank Redemption,Drama,https://youtube.com/shorts/nGBZ0ydaSiU?si=FPXfVPZPEKkEW5ZM
The Shining,Drama; Horror,https://youtube.com/shorts/Y17fUUd1nx8?si=J1lyoLZOT8TuYBMS
The Silence of the Lambs,Crime; Drama; Horror,https://youtube.com/shorts/ZzGHrO3H4H8?si=aumwH65NK3tGvuRS
The Sixth Sense,Drama,https://youtube.com/shorts/PoaFeEMdtaM?si=eCCeQMHGNVxyk3_s
The Substance,Horror,https://youtube.com/shorts/iBSA7hThffY?si=HM_nW3FtJDknqKdg
The Terminator,Action; Adventure,https://youtube.com/shorts/HkaJnbqB7XI?si=riGY7OvKbZ_kJgGY
The Thing,Horror,https://youtube.com/shorts/nHpoBYNZCQQ?si=Qu73fbCocAvYNSSx
The Truman Show,Comedy; Drama,https://youtube.com/shorts/JiyGTviAAxc?si=k6aPWccXK2wofwQS
The Usual Suspects,Crime; Drama,https://youtube.com/shorts/GnhodMg-HBQ?si=XVtUOlGjZGGdlpXP
The Witch,Horror,https://youtube.com/shorts/Cpkd9yLumUo?si=DayqW-OEY6PeMjMb
The Wolf of Wall Street,Comedy; Crime; Drama,https://youtube.com/shorts/TMBsszH-d6Y?si=vBAU4KiP4D0brb6b
Thor,Action; Fantasy,https://youtube.com/shorts/DKLtKRS-7XI?si=Siq0-jrLsFWKkLGi
Thor: Ragnarok,Action; Comedy; Fantasy,https://youtube.com/shorts/yyOzTfHgBqs?si=Pz9F09F2YAsVyuVt
Thor: The Dark World,Fantasy,https://youtube.com/shorts/7r3fXK9ppZ8?si=JjL-UDNmNbJ9oYq5
Titanic,Drama,https://youtube.com/shorts/CX1GGF3ahZ8?si=8Ha4qBTCTdslxrDZ
Toy Story,Adventure; Comedy; Fantasy,https://youtube.com/shorts/Tb1VGJTX7o4?si=fnQuI_sW4FmrJIn7
Toy Story 2,Comedy; Fantasy,https://youtube.com/shorts/L476FOLlgzw?si=Q7iFFVBJgDqigUmv
Toy Story 3,Adventure; Comedy; Fantasy,https://youtube.com/shorts/3TD_81YcVQ4?si=qlly_8vbY3Zu01vM
Trainspotting,Crime,https://youtube.com/shorts/vCUoDhMGH24?si=Sd-DDPei2oJ3fW5f
Up,Adventure; Comedy; Drama,https://youtube.com/shorts/aL8mTROfmqk?si=VJwEjLAcVMkkKG8o
Us,Horror,https://youtube.com/shorts/654kzW7f8-w?si=XP9o5PvwVXLZZqXH
V for Vendetta,Action; Drama,https://youtube.com/shorts/G-Zo66Ql_BU?si=qO6E4W3ryqLUgyRY
WALL·E,Adventure,https://youtube.com/shorts/jIhhtXww0pw?si=Nys_0DmjSkwnROqC
Whiplash,Drama,https://youtube.com/shorts/v5t5Ez3tTy8?si=hMxO0NYJQR8djfo7
Wonder Woman,Fantasy,https://youtube.com/shorts/iKrKxEo1Gxw?si=jTGSBfMH6i1iDpUr
World War Z,Horror,https://youtube.com/shorts/A9kMI6xraHs?si=1WAJjSxG5CslTRsE
Zodiac,Crime,https://youtube.com/shorts/ZixCBskK0nI?si=d6NjFDj20SKOcpsI
Zombieland,Comedy; Horror,https://youtube.com/shorts/czj9_wb9O6M?si=kXM1NQbFopYycdxm
